"Timestamp","Cluster Name","Number of CPUs","CPU Type","CPU Clock","Rocks Version","Organization","Location","Member of Rocks Grid","Notes","FLOPs"
"2007-10-17","rocks7","32","EM64T","2.40","Unspecified","PNNL","Richland, WA","no","hazy","153.6"
"2003-03-14","rocks8","8","Pentium 4","1.70","Other","PNNL","Richland, WA","no","N/A","27.2"
"2003-03-14","rocks10","8","Pentium 3","1.00","Other","PNNL","Richland, WA","no","robomaid","8"
"2003-03-14","BCC-gpop","10","Pentium 3","1.10","Other","BIRN","SDSC, San Diego CA","yes","N/A","11"
"2004-09-09","ncmir-gpop","9","Pentium 3","1.10","Unspecified","BIRN","San Diego","yes","N/A","9.9"
"2003-03-14","fMRI-gpop","8","Pentium 3","1.10","Other","BIRN","San Diego, CA","yes","N/A","8.8"
"2003-03-14","bwh-gpop","8","Pentium 3","1.10","Other","BIRN","Boston Mass","yes","N/A","8.8"
"2003-03-14","mgh-gpop","8","Pentium 3","1.10","Other","BIRN","Boston Mass","yes","This is currently housed @ SDSC, but headed to boston within a month","8.8"
"2003-11-21","civm-gpop","8","Pentium 3","1.10","Unspecified","BIRN","Durham (Duke) North Carolina","yes","N/A","8.8"
"2003-03-14","unc-gpop","8","Pentium 3","1.10","Other","BIRN","Durham (Duke) North Carolina","yes","N/A","8.8"
"2003-03-14","bic-gpop","8","Pentium 3","1.10","Other","BIRN","Pasadena (CalTech) CA","yes","N/A","8.8"
"2003-03-14","loni-gpop","8","Pentium 3","1.10","Other","BIRN","LA (UCLA) CA","yes","N/A","8.8"
"2003-03-14","Distributed","32","Athlon MP","1.60","Other","UC Irvine, EECS Dept.","Irvine, CA","no","N/A","102.4"
"2003-03-15","ARCluster","16","Athlon XP","1.80","Other","Von Karman Institute","Rhode-St-Genese, Belgium","no","N/A","57.6"
"2003-03-15","Britannic","2","Itanium 2","0.90","Other","SDSC","San Diego","yes","N/A","7.2"
"2003-03-15","Geofizika","12","Athlon MP","2.00","Other","Faculty of Science, Department of Geophysics","Zagreb, Croatia","no","N/A","48"
"2003-03-15","Herzberg","6","Pentium 3","1.00","Other","Institute ""Rudjer Boskovic""","Zagreb, Croatia","no","N/A","6"
"2003-03-16","stein","12","Athlon XP","1.60","Other","CNR IBF","Palermo Italy","no","N/A","38.4"
"2003-03-17","Jaguar","32","Pentium 4","2.20","Other","National University of Singapore (NUS)","NUS, Supercomputing and Visualisation Unit","no","N/A","140.8"
"2003-03-17","RocketScience","10","Pentium 4","2.20","Other","SCS","SCS - Singapore","no","N/A","44"
"2003-03-17","RocketScience2","32","Pentium 4","2.80","Other","SCS","SCS - Singapore","no","N/A","179.2"
"2003-03-17","RocketScience0","16","Pentium 3","0.55","Other","SCS","SCS - Singapore","no","N/A","8.8"
"2010-07-14","JADE","32","Pentium 4","2.40","Unspecified","GENOME INSTITUTE OF SINGAPORE","SINGAPORE","no","N/A","153.6"
"2009-03-09","GridKa","8632","EM64T","2.52","5.1","Forschungszentrum Karlsruhe","Karlsruhe, Germany","no","N/A","43505.28"
"2003-07-02","Chihuahua","311","Pentium 4","2.25","2.3.2","North Carolina State University College of PAMS","Raleigh, North Carolina","no","28 Pentium 3s @ 933MHz, 3 Pentium 3s @ 866MHz, 280 Pentium 4s at 2.4GHz","1399.5"
"2003-03-18","UCSD CMS Tier2","40","Pentium 4","2.40","Other","UCSD","SDSC","yes","N/A","192"
"2003-03-18","US Tier1 Facility for CMS","120","Athlon MP","1.90","Other","CMS","Fermilab","no","N/A","456"
"2003-03-18","Caltech CMS Tier2","40","Pentium 4","2.40","Other","Caltech","Caltech","no","N/A","192"
"2003-03-18","Florida CMS Tier2","140","Pentium 3","1.00","Other","University of Florida","University of Florida","no","N/A","140"
"2003-03-18","balsa","28","Athlon MP","1.80","Other","School of Math, Georgia Institute of Technology","Atlanta, GA","no","N/A","100.8"
"2003-03-19","BiG","32","Pentium 4","2.40","Other","Nanyang Polytechnic","Singapore","no","N/A","153.6"
"2003-03-20","EIL","18","Pentium 3","0.40","2.3.1","Environmental Information Lab","Santa Barbara","yes","N/A","7.2"
"2003-05-05","elan","80","Pentium 4","2.40","2.2.1","University of Delaware","Newark, DE","no","N/A","384"
"2003-03-20","keck2","76","Pentium 3","0.80","2.2.1","UCSD Chemistry - McCammon Lab","San Diego, CA","yes","N/A","60.8"
"2003-03-20","Tembusu","128","Pentium 3","1.40","2.2.1","School of Computing, National University of Singapore","Singapore","no","N/A","179.2"
"2003-03-20","receptor","8","Athlon MP","1.66","2.3.1","Biomaterials, Drug Delivery, and Molecular Recognition Labs","University of Texas at Austin","no","N/A","26.56"
"2003-05-12","Iceberg","604","Pentium 4","2.80","2.3.0","Bio-X @ Stanford University","Stanford, CA","yes","N/A","3382.4"
"2003-05-01","Schulten","23","Athlon XP","1.80","2.2.1","University of Illinois School of Chemical Sciences","Urbana, IL","yes","N/A","82.8"
"2003-03-20","Makri","18","Athlon MP","1.66","2.2.1","University of Illinois School of Chemical Sciences","Urbana, IL","yes","9 dual Athlon nodes.","59.76"
"2003-03-20","Martinez","27","Other","1.40","2.2.1","University of Illinois School of Chemical Sciences","Urbana, IL","no","This cluster is 1) behind a hardware firewall, 2) is all in public IP space for SW licensing reasons, and 3) is a Rocks 2.2.1 frontend with RedHat 8.0+Rocks 2.2.1 nodes. Incredibly, this actually works, which is a testament to the hackability of Rocks.","37.8"
"2003-05-06","Electra","65","Pentium 2","0.23","2.2.1","University of Macedonia, Department of Applied Informatics","Thessaloniki, Greece (Hellas)","no","N/A","14.95"
"2003-03-30","walnut","30","Athlon XP","1.80","2.3.0","University Of Nevada, Reno Chemistry Department","Reno, NV","no","N/A","108"
"2003-06-02","cortex","128","Pentium 4","2.40","2.3.1","University Of Nevada, Reno","Reno, NV","no","N/A","614.4"
"2003-04-08","hpcvl","128","Pentium 4","1.85","Other","Carleton University","Ontario, Canada","no","N/A","473.6"
"2003-04-09","Orc","20","Pentium 3","1.40","2.3.2","University of Surrey SCRIBA","Guildford, Surrey. UK","no","N/A","28"
"2003-04-11","Geon-SDSC","12","Pentium 4","2.40","2.3.2","Geon","San Diego, CA","yes","N/A","57.6"
"2003-04-14","cluster2","9","Pentium 4","2.40","2.3.2","LCP/COPPE/UFRJ","Rio de Janeiro/Brazil","no","N/A","43.2"
"2008-06-27","GCLcluster","64","Pentium 4","2.40","3.1.0","UC Berkeley Geophysics Computing Lab","UC Berkeley","no","N/A","307.2"
"2003-08-21","Itanic","8","Itanium 2","0.90","2.3.2","Rocks Cluster Development","La Jolla, CA","yes","you guys kick ass!","28.8"
"2003-04-21","hydra3","60","Itanium 2","1.00","2.3.2","Singapore-MIT Alliance","Singapore","yes","N/A","240"
"2003-04-22","gaspac","12","Pentium 3","1.13","2.2.1","Genetic Algorithm Systems Lab","University of Nevada, Reno","no","N/A","13.56"
"2003-04-22","Milky Way","11","Pentium 3","0.60","2.3.2","i2r","Singapore","no","N/A","6.6"
"2003-04-23","EMA CCSU COMPUTER CLUB","8","Pentium 3","0.67","2.3.0","CCSU Computer Club","New Britain CT","no","N/A","5.36"
"2007-10-08","Dell PE2650","4","Opteron","2.80","Unspecified","Corp","Round Rock, TX","no","N/A","22.4"
"2003-07-15","PIPE","98","Pentium 4","2.40","2.3.2","Digital Image Analysis Lab","Scripps Institution of Oceanography","no","N/A","470.4"
"2003-04-28","Sin-Cluster","4","Pentium 4","2.00","2.3.2","Sinergy","italy","no","i found really excited to implement this architecture . No problem at all in our lab CordiallLuigi GrandinIT Security Evangeliswww.sinergy.it","16"
"2003-06-19","d2grid","24","Pentium 4","2.40","2.3.2","d2grid.com","China.P.R.","no","D2Grid research condor and PBS system with LTSP+openMosix, The Rocks is the best choice.","115.2"
"2003-05-01","trapeza","40","Athlon MP","1.53","2.3.2","Brown University","Providence","no","N/A","122.4"
"2003-05-01","lou","98","Athlon MP","1.67","2.3.2","Brown University","Providence","no","N/A","327.32"
"2003-05-01","marx","88","Athlon MP","1.67","2.3.2","Brown University","Providence","no","N/A","293.92"
"2003-05-01","GL_monster","98","Pentium 4","1.70","2.3.2","Brown University","Providence","no","N/A","333.2"
"2003-05-01","kansas","26","Pentium 4","2.20","2.3.2","Brown University","Providence","no","N/A","114.4"
"2003-05-01","typical","12","Itanium 2","0.90","2.3.2","Theory Group, Northwestern University","Northwestern U.","no","N/A","43.2"
"2003-05-01","Brutus","16","Pentium 3","1.00","Unspecified","Myricom, Inc.","Oak Ridge, TN","no","N/A","16"
"2004-06-25","JCSG Jet","32","Pentium 3","1.00","2.3.2","JCSG","San Diego","no","N/A","32"
"2005-09-06","JCSG Falcon","128","Pentium 4","2.40","3.3.0","JCSG","San Diego","no","N/A","614.4"
"2004-03-17","tejas","64","Pentium 3","1.00","3.1.0","Texas Advanced Computing Center","Austin","no","N/A","64"
"2003-05-07","polvo","8","Pentium 4","2.54","2.3.2","INESC-MN","Lisboa Portugal","no","N/A","40.64"
"2003-05-09","ngc","9","Athlon XP","1.80","2.3.0","CNR IRC","Napoli Italy","no","Cordially Marco Imparato","32.4"
"2003-05-12","Snowstorm","376","Itanium 2","1.30","2.3.1","University of Tromsø","Tromsø, Norway","yes","N/A","1955.2"
"2003-05-12","weland","64","Athlon MP","1.67","2.3.1","Texas Tech HPCC","Lubbock, TX","no","N/A","213.76"
"2003-05-12","antaeus","32","Athlon MP","1.67","2.3.1","Texas Tech HPCC","Lubbock, TX","no","N/A","106.88"
"2003-05-12","mathwulf","24","Athlon XP","1.00","2.2.1","Texas Tech Math/HPCC","Lubbock, TX","no","N/A","48"
"2003-05-14","Nashi","88","Athlon MP","1.80","2.3.0","ECE Dept.","San Diego","yes","N/A","316.8"
"2003-05-16","Bevo","90","Athlon MP","2.00","2.3.2","University of Texas CSM","Austin, TX","no","Institute for Computational Engineering and Sciences: Center for Subsurface ModelinMary F. Wheeler, Ph.D., Director","360"
"2003-05-21","zcools","8","Pentium 2","1.20","2.3.2","Non profit","Italy Milano","no","first time try it","9.6"
"2003-05-28","remora","7","Pentium 4","2.20","2.2.1","Instituto de Investigaciones en Materiales, UNAM","Mexico, D.F.","no","N/A","30.8"
"2003-06-09","Matrix","48","Pentium 4","2.40","2.3.1","National Research Council","Ottawa, Canada","no","N/A","230.4"
"2003-06-13","rocks11","48","Pentium 4","2.40","2.3.2","PNNL","Richland Wa","no","N/A","230.4"
"2003-06-19","Apollo","8","Pentium 4","2.00","2.3.2","SDUST","SDUST , China","no","N/A","32"
"2005-07-13","skiron","4","Pentium 4","2.66","2.3.2","NTUA Chemical Engineering School","Athens","no","N/A","21.28"
"2003-07-01","Valkyrie","32","Pentium 3","1.00","2.2.1","UCSD, Academic Computing","San Diego","no","N/A","32"
"2003-07-03","henhouse","30","Pentium 4","2.40","2.3.2","Swiss Institute of Bioinformatics","Geneva, Switzerland","no","N/A","144"
"2004-04-29","Numbers","6","Athlon","2.80","2.3.2","San Diego State University","San Diego, CA","no","N/A","16.8"
"2003-07-15","Vertex","18","Pentium 4","2.40","2.3.2","University of Texas at Austin","Austin","no","N/A","86.4"
"2003-07-16","HPCCC TDG ROCKS","128","Pentium 4","2.80","2.3.2","High Performance Cluster Computing Centre, HK Baptist University","Hong Kong","yes","N/A","716.8"
"2004-01-23","Magellan","16","Pentium 4","2.79","3.0.0","Massachusetts Biomedical Initiatives","Worcester, Massachusetts","no","in silico biology","89.28"
"2003-08-07","Cosima","32","Pentium 4","2.80","2.3.2","Materials Modeling Division, TU Darmstadt","Darmstadt, Germany","no","Rocksclusters is an extremly nice software.It saved me a lot of time. Thanks !","179.2"
"2005-08-19","CCC Compute Cluster","22","Pentium 4","2.40","4.0.0","Worcester Polytechnic Institute (WPI)","Worcester, MA","no","N/A","105.6"
"2003-08-12","nexus","32","Athlon MP","2.00","2.3.2","Wake Forest University Health Sciences - Structural Biology","Winston-Salem, NC","no","N/A","128"
"2003-08-21","GOKU","5","Pentium 3","0.50","2.3.2","Integrity Applications Inc.","Chantilly, Virginia","yes","N/A","2.5"
"2003-08-21","Roie Rocks","4","Itanium","0.80","Other","SDSC","La Jolla","no","N/A","12.8"
"2003-08-26","3balls","2","Pentium 3","0.40","Unspecified","Private experiment","Brisbane Australia","no","Will be adding machines as time and circumstances dictate.","0.8"
"2003-08-26","genrocks","2","Pentium 3","0.50","2.3.2","BUMC - Genetics Program","Boston","yes","N/A","1"
"2003-09-02","CTBP","160","Pentium 4","2.80","Other","Center for Theoretical Biological Physics","San Diego","no","N/A","896"
"2003-09-11","Hosie","3","Pentium 4","1.57","Other","Hosie Family","Gaithersburg, MD","no","This is a family project undertaken by an unemployed computer specialist formerly with IBM in order to teach kids something about the type of work he does.","9.42"
"2005-02-15","mill","64","Athlon MP","2.13","Unspecified","University of Helsinki","Helsinki, Finland","no","N/A","272.64"
"2003-09-19","hydra","4","Pentium 4","2.40","2.3.2","University of Florida","Gainesville","no","N/A","19.2"
"2003-09-24","SaDDam","32","Athlon XP","1.80","2.3.2","INCAS","Romania","no","N/A","115.2"
"2003-09-25","Inst. for Computational Astrophysics Pluto Cluster","32","Pentium 4","2.40","2.3.2","Saint Mary's University","Halifax, NS, Canada","no","Nodes are Dual Xeons (not Pentium 4)","153.6"
"2007-08-16","Lonestar","1024","Pentium 4","3.06","Other","TACC","Austin, Texas","no","Cray Rx 1.3 == Rocks 2.3.2 + enhancementCurrently HPL = 4.15 TFlopThis cluster has 768 3.06 GHz Xeon Pentium4 CPUs and 256 3.2 GHz Xeon Pentium4 CPUsCurrently Peak TFlops = 6.338 TFlops","6266.88"
"2003-10-08","Gemini","8","Athlon XP","1.66","2.3.2","RD-C2, High Performance Computing Research & Development @NECTEC","Pathumthani, THAILAND","no","Main activity conducted on bioinformatics to biological research.","26.56"
"2003-10-07","Freedom","17","Pentium 4","2.40","Other","University of Malaya","Kuala Lumpur, Malaysia","no","Non-Equilibrium Molecular Dynamics Simulation","81.6"
"2003-10-10","Bedrocks","4","Athlon XP","1.00","Other","High Performance Computing and Networking Center","Bangkok, Thailand","no","Used for testing ROCKS software","8"
"2003-10-14","Evolve","10","Athlon MP","1.80","2.3.2","Australian Museum","Sydney, Australia","no","N/A","36"
"2003-11-03","temasek","32","Pentium 4","3.07","Other","Nanyang Tech Univ (By NovaGlobal)","Singapore","yes","N/A","196.48"
"2003-11-04","feynman","12","Athlon MP","2.13","2.3.2","Quantum Chemistry Group, ""Rudjer Boskovic"" Institute","Zagreb, Croatia","no","N/A","51.12"
"2004-04-02","orbitty","92","Pentium 4","2.40","2.3.2","NCSU Physics Department","Raleigh, North Carolina","no","N/A","441.6"
"2003-11-08","Crayon","34","Pentium 4","2.40","Other","PRAGMA","La Jolla","yes","N/A","163.2"
"2003-12-26","whataboutbobs","4","Pentium 3","0.50","3.0.0","cluster.whataboutbob.org","San Diego","no","Second Rocks Cluster","2"
"2003-11-12","damascos","18","Pentium 3","0.80","2.3.2","Materials Modeling Division, TU Darmstadt","Darmstadt","yes","N/A","14.4"
"2003-12-11","RockStar","258","Pentium 4","2.80","3.1.0","UCSD, CalIT^2, SDSC","Phoenix / La Jolla","yes","N/A","1444.8"
"2003-11-19","RoD","32","Pentium 4","2.40","2.3.2","3CR/CS Dep./University of Bristol","Bristol/UK","no","N/A","153.6"
"2003-11-19","UN TOTS","388","Pentium 4","2.66","2.3.2","Intel","Hillsboro. OR","no","Callident Rx, Infiniband cluster","2064.16"
"2003-11-21","asterion","20","Athlon MP","2.00","2.3.1","Dip of Chemistry University of Bologna","Bologna (Italy)","no","N/A","80"
"2003-11-21","stokes","66","Athlon MP","1.50","3.0.0","Texas Learning & Computation Center University of Houston","Houston","no","N/A","198"
"2003-11-22","Holomatrix","24","Pentium 4","2.40","3.1.0","McLachlan Infotech (3D Graphics for Motion Picture Divs)","Coffs Harbour, Australia","no","N/A","115.2"
"2007-02-27","Quantanamera","27","Athlon MP","2.13","3.3.0","Institut de Chimie de Strasborg, CNRS/Université Louis Pasteur","Strasbourg, France","no","N/A","115.02"
"2003-11-27","stone","10","Pentium 4","1.60","3.0.0","Quadrics","Bristol","no","N/A","32"
"2003-11-30","sax0m","1","Pentium 4","1.00","Other","UI","Jakarta","yes","N/A","2"
"2003-12-01","Lil Rascal","5","Pentium 4","2.00","3.0.0","RBA Internet Services, Inc.","Woodbridge, VA","no","N/A","20"
"2006-03-31","rescluster2","23","Pentium 4","3.06","3.0.0","Partners Health Care","Boston, MA","no","N/A","140.76"
"2003-12-02","milesahead","12","Pentium 4","2.80","3.1.0","Lakehead University","Thunder Bay","no","N/A","67.2"
"2004-03-18","Hydra-GHS","13","Pentium 3","0.93","2.3.2","Gaithersburg High School","Gaithersburg, MD","no","Built by 5 high school seniors as part of an advanced study project. 12 compute nodes, 1 frontend node. 100TX Ethernet w/switch used throughout.","12.09"
"2004-11-15","HBARC","26","Pentium 4","1.80","3.0.0","CalPoly Pomona","Pomona, CA","no","N/A","93.6"
"2003-12-28","Addepalli-Cluster","5","Athlon XP","1.80","3.0.0","Personal","Texas","yes","N/A","18"
"2003-12-31","HPC00","17","Athlon MP","2.40","3.1.0","PDPC / Providence University","Taichung, Taiwan","yes","N/A","81.6"
"2003-12-31","Flower","16","Pentium 3","1.40","3.1.0","CCGB, The University of Minnesota","Minneapolis","yes","N/A","22.4"
"2004-06-25","placebo","88","Opteron","2.00","3.1.0","Theory Group, Northwestern University","Northwestern University, Evanston, IL","no","N/A","352"
"2005-03-18","Nadelhorn","216","Pentium 4","3.00","3.3.0","University of Zurich","Zurich, Switzerland","yes","Kim's Rocks Cluster","1296"
"2004-01-15","ulucreis","6","Pentium 4","3.00","3.1.0","Istanbul Technical University","Istanbul-Turkey","no","N/A","36"
"2004-01-15","RAMSES","24","Pentium 3","0.55","3.1.0","BECAT","Storrs, Connecticut","no","N/A","13.2"
"2004-01-20","FIU CHEPREO Cluster","20","Pentium 4","2.67","3.0.0","Florida International University","NAP of the Americas - FIU Rack Space - Miami, FL","yes","N/A","106.8"
"2004-01-21","Igneous","14","Opteron","1.80","3.1.0","Edith Cowan University","School of Computer and Information Science","no","N/A","50.4"
"2004-01-21","TSC Supercomputer","20","Pentium 4","2.80","3.1.0","Systemax Manufacturing","Fletcher, OH","no","N/A","112"
"2004-10-23","Tales","12","Pentium 4","2.81","3.0.0","UCLM Computational Chemistry Group","Ciudad Real (Spain)","no","N/A","67.44"
"2004-02-03","lodestone","278","Pentium 4","2.80","3.1.0","Scripps Institution of Oceanography","San Diego","yes","N/A","1556.8"
"2004-02-04","camrdu06","8","Pentium 4","2.80","3.1.0","AZRDM","Montreal, QC","no","N/A","44.8"
"2004-02-06","CSAG-Rocks","18","Pentium 4","2.80","3.1.0","CSAG-UCSD","San Diego","no","Many thanks to Greg Bruno and Mason Katz for their expert assistance.","100.8"
"2004-02-12","Proadmin-Sequence","8","Pentium 4","2.40","3.1.0","Proadmin, Inc.","Santa Clara, CA","no","N/A","38.4"
"2004-02-14","FISMAT","10","Athlon XP","2.00","3.1.0","HAPPY [] HACKING","Morelia","no","N/A","40"
"2004-02-23","Bigbird","4","Pentium 4","2.80","3.1.0","University of St Andrews","St Andrews, Fife, UK","no","N/A","22.4"
"2004-02-25","Elk","90","Pentium 3","1.00","3.1.0","University of Calgary","Calgary, Alberta","no","N/A","90"
"2004-02-27","cascade","32","Athlon MP","2.20","3.1.0","University of Calgary","Calgary, Alberta","no","N/A","140.8"
"2004-02-29","SNOW","48","Pentium 4","2.40","3.1.0","NUAA","Nanjing PRC","no","N/A","230.4"
"2004-03-04","Tahu","3","Pentium 4","2.40","3.0.0","MajorLinux Computing","Zurich","yes","N/A","14.4"
"2004-03-10","WC-Governor","12","Pentium 3","0.55","3.1.0","New Haven Public Schools","New Haven, CT","no","N/A","6.6"
"2004-03-13","Cowan","26","Opteron","1.60","3.1.0","Rollins College Physics Dept","Winter Park, Florida","no","N/A","83.2"
"2004-03-17","minicc2","3","Athlon XP","1.60","3.1.0","Scalable Informatics LLC","Canton, MI","no","N/A","9.6"
"2004-03-17","mcbilin","64","Pentium 4","2.66","3.1.0","MCBI","MSU, MI","no","N/A","340.48"
"2004-03-17","plasma","4","Athlon XP","1.70","3.1.0","MSU","MSU, MI","no","N/A","13.6"
"2004-08-16","clusterf","20","Pentium 4","3.00","3.1.0","N/A","McLean, VA","no","This cluster is being used for Aviation Research. We are performing airspace modeling as well as Spectrum Analysis.","120"
"2004-03-17","plexus","110","Pentium 3","1.40","3.1.0","RIT","Rochester, NY","no","N/A","154"
"2004-03-17","apple","32","Pentium 4","3.00","3.0.0","University of Miami","Miami","no","N/A","192"
"2004-03-17","hpc1","16","Opteron","1.60","3.1.0","New York University","New York City","no","N/A","51.2"
"2006-11-21","Smith","256","Opteron","2.20","4.1","AMD Developer Center","Sunnyvale","no","** 128 CPUs, 256 Processing Cores **This is a 32-node Cluster of 4-Way Opteron systems. Each node has 32GB of DDR333 Memory (8GB/CPU) for a total memory count of 1024GB (1TB). The nodes are connected with GigE and Myrinet.","1126.4"
"2006-11-21","Mini-Morpheus","16","Opteron","1.80","3.2.0","AMD Developer Center","Sunnyvale","no","This is a ""mini"" version of our 128Node (256CPU) Top500.org listed Cluster -- Morpheus. This is used tor small testing of code before access is granted to Morpheus. Each node consists of Dual 1.8GHZ Opteron 244 CPUs, 1GB of ram per CPU (total of 2GB/system) and a Myrinet interconnect.","57.6"
"2005-05-18","Gandalf","32","Opteron","2.20","3.3.0","AMD Developer Center","Sunnyvale","no","This is a 4-Node cluster of 4-Processor Celestica Opteron systems. Each node has 2GB of memory/CPU (total of 8GB per system) and Opteron 875 Dual-Core (2.2GHz) CPUs. The interconnect is GigE.","140.8"
"2004-03-17","USCMS and CDF Cluster","200","Pentium 4","2.60","3.0.0","UCSD HEP","La Jolla","no","N/A","1040"
"2004-03-17","Voyager","480","Opteron","1.80","3.0.0","US Government","Washington, DC","no","ROCKS 3.0.0, Myrinet, GigE, dual AMD Opteron 244, 3GB memory, 1U chassis, PXE boot, no floppy drive, no CD ROM drive, 4-racks of compute nodes, 1-rack switch gear and frontend control. 25kW of AC power required, 120k BTUs cooling. Takes 2 hours to load from scratch ""From cold to gold""... Built and tested at Integrity Linux, ABQ NM.","1728"
"2004-03-17","titan","12","Pentium 4","2.80","2.3.2","N/A","Aichi, Japan","no","ApplicationsLS-DYNA, STAR-CD, Scryu/Tetr","67.2"
"2004-03-19","UICSuperCluster","5","Opteron","2.10","3.1.0","University of Illinois in Chicago","Chicago, Illinois","yes","N/A","21"
"2004-03-19","homer","15","Athlon MP","1.40","3.1.0","Radiological Sciences WUMS","St Louis","no","N/A","42"
"2004-03-21","cerebron","10","Pentium 3","1.00","3.0.0","Quantum Chemistry Group, Jagiellonian University","Cracow, Poland","no","N/A","10"
"2005-08-19","Hyades","28","Pentium 4","2.80","4.0.0","Astronomy Dept - University of Virginia","Charlottesville, VA","no","N/A","156.8"
"2004-03-23","Matterhorn","522","Opteron","1.80","3.1.0","University of Zurich","Zurich","no","N/A","1879.2"
"2004-03-25","NodeX","16","Pentium 4","2.80","3.1.0","Nodex ISP","Saint-Petersburg, Russia","no","N/A","89.6"
"2004-03-29","Framingham Cluster","30","Pentium 4","2.40","3.1.0","Framingham Heart Study","Boston","no","N/A","144"
"2004-03-29","biosys1","110","Pentium 3","0.80","2.3.2","Michigan Center for Biological Information","Ann Arbor, Michigan","no","N/A","88"
"2004-03-31","Groove","16","Pentium 4","2.80","3.1.0","Human Genetics, UCLA","Los Angeles","no","N/A","89.6"
"2004-04-01","komolongma","130","Pentium 3","1.20","3.1.0","Electrical and Computer Engineering, University of Puerto Rico","Mayaguez, PR","no","N/A","156"
"2004-04-02","BU cluter","3","Pentium 2","0.70","3.1.0","Bangkok University","Bangkok Thailand","yes","Bangkok University","2.1"
"2005-02-12","DeepThought","17","Pentium 4","3.00","3.1.0","Department of Aerospace Sciences, Cranfield University","Cranfield, United Kingdom","no","Many thanks. Excellent software. I tried the rest, but this was the best.","102"
"2004-04-06","Googoo","16","Other","0.38","3.0.0","Westmont College","Santa Barbara","no","N/A","6.08"
"2005-01-08","Wonhyo","4","Pentium 4","1.60","3.3.0","Bankok University","Bankok","no","N/A","12.8"
"2004-04-09","Genesis","4","Pentium 4","3.00","3.1.0","University of South Florida - AI Lab","Tampa, FL","no","N/A","24"
"2004-04-09","EC1","14","Pentium 4","2.20","3.1.0","UCSF, Macromolecular Structure Group","San Francisco, Calif., US","no","N/A","61.6"
